STATE,zipcode,Income
WA,98168,158726
WA,98168,116550
WA,98168,166458
WA,98168,45679
WA,98177,29664
WA,98177,61911
WA,98177,75208
WA,98177,89736
WA,98177,335773
WA,98177,836923
WA,98178,55203
WA,98178,125043
WA,98178,121773
WA,98178,105337
WA,98178,186107
WA,98178,84526
WA,98188,69668
WA,98188,146181
WA,98188,110858
WA,98188,73287
WA,98188,115560
WA,98188,74089
WA,98198,77257
WA,98198,185469
WA,98198,175249
WA,98198,151019
WA,98198,277224
WA,98198,175898
WA,98199,27340
WA,98199,72875
WA,98199,95029
WA,98199,93900
WA,98199,351582
WA,98199,995952
WA,98201,59623
WA,98201,134188
WA,98201,124189
WA,98201,100339
WA,98201,168502
WA,98201,88044
WA,98203,65759
WA,98203,154029
WA,98203,156840
WA,98203,158313
WA,98203,334490
WA,98203,173623
WA,98204,92290
WA,98204,228071
WA,98204,180738
WA,98204,142382
WA,98204,166782
WA,98204,25999
WA,98208,89972
WA,98208,211041
WA,98208,242871
WA,98208,275295
WA,98208,684517
WA,98208,207627
WA,98220,1463
WA,98220,2931
WA,98220,3094
WA,98220,3024
WA,98220,4216
WA,98220,0
WA,98221,39459
WA,98221,84277
WA,98221,100404
WA,98221,118647
WA,98221,254307
WA,98221,280283
WA,98223,68466
WA,98223,153785
WA,98223,196372
WA,98223,211764
WA,98223,446893
WA,98223,176566
WA,98225,109540
WA,98225,176553
WA,98225,155034
WA,98225,137238
WA,98225,254182
WA,98225,252188
WA,98226,84916
WA,98226,181441
WA,98226,173552
WA,98226,169976
WA,98226,343803
WA,98226,284909
WA,98229,63943
WA,98229,114382
WA,98229,127971
WA,98229,129769
WA,98229,310004
WA,98229,305572
WA,98230,30452
WA,98230,60511
WA,98230,71557
WA,98230,72314
WA,98230,126641
WA,98230,148604
WA,98232,6105
WA,98232,14350
WA,98232,16839
WA,98232,20261
WA,98232,47948
WA,98232,53765
WA,98233,35198
WA,98233,70760
WA,98233,68198
WA,98233,61880
WA,98233,105868
WA,98233,48486
WA,98236,10469
WA,98236,20597
WA,98236,27724
WA,98236,28842
WA,98236,65723
WA,98236,102361
WA,98237,6878
WA,98237,13684
WA,98237,14981
WA,98237,11919
WA,98237,24386
WA,98237,0
WA,98239,11597
WA,98239,27290
WA,98239,34357
WA,98239,36771
WA,98239,73885
WA,98239,66535
WA,98240,6573
WA,98240,13177
WA,98240,12520
WA,98240,16166
WA,98240,26283
WA,98240,15061
WA,98241,4312
WA,98241,9062
WA,98241,10026
WA,98241,9233
WA,98241,9208
WA,98241,0
WA,98244,5438
WA,98244,12371
WA,98244,12319
WA,98244,11555
WA,98244,20078
WA,98244,0
WA,98245,8828
WA,98245,16099
WA,98245,17699
WA,98245,15659
WA,98245,30821
WA,98245,67196
WA,98247,16035
WA,98247,34631
WA,98247,35950
WA,98247,34179
WA,98247,53229
WA,98247,38777
WA,98248,45286
WA,98248,95956
WA,98248,102971
WA,98248,105112
WA,98248,198029
WA,98248,103626
WA,98249,9580
WA,98249,18453
WA,98249,24229
WA,98249,25292
WA,98249,63210
WA,98249,71737
WA,98250,17516
WA,98250,34442
WA,98250,36028
WA,98250,36985
WA,98250,84649
WA,98250,174198
WA,98251,8564
WA,98251,20088
WA,98251,23315
WA,98251,20441
WA,98251,25848
WA,98251,0
WA,98252,15297
WA,98252,35235
WA,98252,39373
WA,98252,42705
WA,98252,84493
WA,98252,25820
WA,98253,3305
WA,98253,6134
WA,98253,8995
WA,98253,8047
WA,98253,24843
WA,98253,21213
WA,98257,7765
WA,98257,15783
WA,98257,19541
WA,98257,20992
WA,98257,48768
WA,98257,35177
WA,98258,66657
WA,98258,151082
WA,98258,206362
WA,98258,258067
WA,98258,577572
WA,98258,216155
WA,98260,10471
WA,98260,19822
WA,98260,24164
WA,98260,24418
WA,98260,76202
WA,98260,82836
WA,98261,5441
WA,98261,10653
WA,98261,10865
WA,98261,8965
WA,98261,21634
WA,98261,37214
WA,98262,1644
WA,98262,3906
WA,98262,4721
WA,98262,3670
WA,98262,15790
WA,98262,0
WA,98264,35562
WA,98264,75981
WA,98264,97657
WA,98264,97673
WA,98264,163508
WA,98264,149949
WA,98266,8031
WA,98266,15085
WA,98266,13108
WA,98266,7066
WA,98266,11415
WA,98266,0
WA,98267,960
WA,98267,2207
WA,98267,1506
WA,98267,3227
WA,98267,0
WA,98267,0
WA,98270,83686
WA,98270,198527
WA,98270,225840
WA,98270,240392
WA,98270,459927
WA,98270,95273
WA,98271,63027
WA,98271,120255
WA,98271,137791
WA,98271,129339
WA,98271,237041
WA,98271,95548
WA,98272,42744
WA,98272,99689
WA,98272,118686
WA,98272,128413
WA,98272,286531
WA,98272,150957
WA,98273,64895
WA,98273,133440
WA,98273,112491
WA,98273,106701
WA,98273,174440
WA,98273,131256
WA,98274,31907
WA,98274,65986
WA,98274,77001
WA,98274,75210
WA,98274,168968
WA,98274,101001
WA,98275,29442
WA,98275,65360
WA,98275,86715
WA,98275,104062
WA,98275,387821
WA,98275,408476
WA,98276,2310
WA,98276,5252
WA,98276,8231
WA,98276,6770
WA,98276,5976
WA,98276,0
WA,98277,74851
WA,98277,198611
WA,98277,177121
WA,98277,162063
WA,98277,254005
WA,98277,92762
WA,98279,1121
WA,98279,1932
WA,98279,2785
WA,98279,2149
WA,98279,14699
WA,98279,0
WA,98281,2777
